Last Name,First Name,Full name,Maiden Name (Last),Maiden Name,Birth Date,Death Date,Birth place,Death place,Gender,Associated Monthly Meeting,Notes
Camm,Thomas,"Camm, Thomas",,,,1707-01-13,"Camsgill, Westmoreland, England","Camsgill, England",male,,"s/o John and Mabel Camm, born in 1641.  He became a Minister and traveled widely.  He married in 1666 to Ann Audland, widow of John Audland.  In 1674 he was imprisoned for nearly 3 years at Kendal and for 6 years at Appleby.  In 1681 he opposed John Story at Kendal."
Candler,Benjamin Jesup,"Candler, Benjamin Jesup",,,1817-02-06,1900-12-05,"Bawburgh, Norfolk, England","Tunbridge Wells, England",male,Kingston MM,"s/o Edward Candler and Sarah (Jesup).  He married Phillis Marsh, dt/o George F. Marsh, at Chelmsford, Essex on 10/1/1845 and they had 7 children.  His wife died in1889.   He became a Minister on 11/21/1894."
Candler,John,"Candler, John",,,1787-04-10,1869-07-04,"Great Bardfield, Essex, England","Springfield, near Chelmsford, England",male,,s/o William and Elizabeth Candler.   He married Maria Knight.  He studied Greek and Hebrew so that he could read the original scriptures.  In 1839 he and his wife visited the West Indies and later to Brazil and twice to the U. S. A.   In the 1840's he became a Minister.  He again visited America and also to Norway.  
Candler,Lucy,"Candler, Lucy",,,1852-01-18,1936-02-07,"Wakefield, Yorkshire, England","Tunbridge Wells, England",female,Lewes & Chicester MM,"dt/o Benjamin Jesup Candler and Phillis (Marsh).   She was an English teacher at Friends' School at Southport.  She served as an Elder and served on 3 committees: Agenda, Continental and Home Service."
Candler,William,"Candler, William",,,,1820-03-24,,"Norwich, England",male,Woodbridge MM,He was born in 1750 and lived in Ipswich for many years.  He became a Minister and served for about 29 years.
Capitini,Aldo,"Capitini, Aldo",,,,1968-10-19,,Perugia,male,,He was born in about 1899 and became a Professor of Philosophy at the University of Perugia.  He was the first Amico dei Friends.  His anti-Fascist activities caused him to be imprisoned twice.
Capper,Anne,"Capper, Anne",Fry,"Fry, Anne",1756-08-14,1821-11-19,"Melksham, Wiltshire, England","Stoke Newington, England",female,Gracechurch Street MM,dt/o John and Frances Fry.  She married Jasper Capper in 1778 and they had 13 children.   She became a Minister and traveled to the midlands and eastern counties.   Jasper died in 1819.
Capper,Elizabeth Naish,"Capper, Elizabeth Naish",,,,1907-01-20,"Potterne Farm, near Devizes","Bristol, England",female,,"dt/o Samuel and Elizabeth Capper, born in 1818.   She was recorded a Minister in 1885 and made many visits to smaller meetings even when she was over 70 years old.  She was active in the New Street Mission Hall, Bristol."
Capper,Katharine,"Capper, Katharine",,,1849-03-23,1889-01-28,"Burnley, Lancashire, England",Headingley,female,,dt/o Jasper Capper and Jane Fryer (Gilpin).  She lived in Leeds where she worked with the Young Women's Christian Association and the Guardian House.
Capper,Mary,"Capper, Mary",,,1755-04-11,1845-05-23,"Rugeley, Staffs","Birmingham, England",female,Peel MM,dt/o William and Rebecca Capper.  In 1766 she went to France for her health.  In 1784 she lived with one of her brothers in London and in 1788 she joined Friends at Peel MM.  In 1794 she became a Minister at Birmingham.  
Capper,Samuel,"Capper, Samuel",,,,,,"Weston-super-Mare, Somersetshire",male,,He was born in 1782 and died in 1852.  He settled in Bristol in 1802 and in 1803 he married Elizabeth Naish.  They had 11 childen.  He held tent meetings in summers in Ireland in 1841 and 1842.
Capper,Sarah Mercy,"Capper, Sarah Mercy",Grace,"Grace, Sarah Mercy",1830-04-23,1931-04-17,"Clifton, Bristol, England","Clifton, Bristol, England",female,Bristol & Frenchay MM,"dt/o James Grace and Ellen (Thirnbeck).  She married William Smallwood Capper, s/o Samuel Capper and Elizabeth (Naish) at Bristol on 9/9/1851.   They both resigned from Friends for non-attendance of meetings.   "
Capper,William Smallwood,"Capper, William Smallwood",,,1822-03-08,,"Castle Green, Bristol, England",,male,,"s/o Samuel Capper and Elizabeth (Naish).  He married Sarah Mercy Grace, dt/o James Grace and Ellen (Thirnbeck), at Bristol, on 9/9/1851.   He and his wife were attracted by Congregational worship and they both resigned from Friends. "
Carey,Anthony Morris,"Carey, Anthony Morris",,,1861-01-11,1930-05-14,"Baltimore County, Maryland","Baltimore, Maryland",male,Homewood MM,s/o James and Susan Budd Kimber Carey.  He graduated from Haverford College.  In 1893 he became a Minister and he married Margaret Cheston Thomas and they had children.   He cooperated with Park Ave. Friends for international peace.
Carey,Eliza,"Carey, Eliza",Hadley,"Hadley, Eliza",1842-02-20,1912-10-16,"Parke County, Indiana","Wichita, Kansas",female,,"dt/o David and Hannah Hadley.  She married  1st, Charles W. Talbert in 1861 and they had a son.  In 1868 she married 2nd, Jonathan E. Carey and they had 6 children.  She served as a Minister for 25 years.  From 1899 to 1902 she was Superintendent of the Kansas Yearly Meeting."
Carey,Gervas A.,"Carey, Gervas A.",,,1883-07-20,1965-07-09,"Fairmount, Indiana","Newberg, Oregon",male,,"He was educated at Fairmount Academy, Cleveland Bible Institute, Friends University and Princeton.   He married Amy Gitchel.  He was recorded as a Minister.  From 1947 to 1950 he was President of George Fox (Pacific College) and Professor of Religion at Friends U. for 13 years.   He was buried at Wichita, Kansas."
Carey,John B.,"Carey, John B.",,,,1912-08-06,,"Whittier, California",male,,"He was born in ca. 1828 and served as a Minister for 54 years.  He conducted work in Iowa, Missouri and Arkansas.  He also worked among the Indians in the Indian Territory."
Carey,Margaret,"Carey, Margaret",Thomas,"Thomas, Margaret",1869-03-13,1945-05-12,,"Baltimore, Maryland",female,,dt/o James Carey and Mary (Whitall) Thomas.  In 1893 she married A. Morris Carey and they had 6 children.  In 1908 she was recorded a Minister.  From 1913 to 1934 she was clerk of the Yearly Meeting of Ministry and Oversight.  She was a member of the Board of the Y. W. C. A. for 46 years.
Carleton,Hannah,"Carleton, Hannah",Howell,"Howell, Hannah",1689-06-05,1758-05-06,"Haverford, Pennsylvania","Kennett ?, Pennsylvania",female,,"dt/o William and Mary Howell.  She married 1st, Robert Roberts and moved to Abington.  In 1730 she married 2nd, Thomas Carleton, a Minister of Kennett, Pennsylvania.  She served as an Elder and later became a Minister and visited families."
Carleton,Thomas,"Carleton, Thomas",,,,1684-11-18,"Little Salkeld, Cumberland, England","Ballincarrick, Wicklow, Ireland",male,,"s/o John and Elinor Carleton, born in 1636.  He became ""convinced"" in 1663 and also became a Minister.  He was put in prison for tithes.  In 1669 he married Isabel Mark, of Mosedale and they had children.  In 1674 they moved to Ireland."
Carleton,Thomas,"Carleton, Thomas",,,,,"Ballyhaken, Ireland","Kennett, Pennsylvania",male,,"s/o Mark and Susanna (Watson) Carleton, born in 1699 and came to America in 1711 and married in 1730 Hannah, dt/o William and Mary Howell, and the widow of Robert Roberts.  He became a Minister and in 1757 signed an epistle encouraging Friends not to pay war taxes.  He died in 1792."
Carlile,John,"Carlile, John",,,,1706-12-25,"Blackwell, England",Carlisle ?,male,,"He was born ca. 1632 and was illiterate and was a tanner.  He was married and had children.  In 1673 he was ""convinced"" by John Graves.  He became a Minister and labored in Cumberland, Westmoreland, Bishoprick, Lancastershire, Northumberland and in Scotland."
Carpenter,Hannah,"Carpenter, Hannah",Hardiman,"Hardiman, Hannah",,1728-05-24,"Haverford West, South Wales","Philadelphia ?, Pennsylvania",female,,"dt/o ? Hardiman, born in 1645.  She was ""convinced"" and in 1683 came to Pennsylvania.  In 1684 she married Samuel Carpenter and they had 6 children.  In 1698 she became a Minister and traveled to various places.  She received Robert Barrow when he reached Philadelphia."
Carpenter,Samuel,"Carpenter, Samuel",,,1649-11-04,1714-04-10,"Horsham, Sussex, England","Philadelphia, Pennsylvania",male,Bridgetown MM,"s/o John and Sarah Carpenter.   He came to Philadelphia in October, 1683 from Bridgetown, Barbados.  In 1694 he married Hannah Hardiman and they had 6 children.  He was quite active in the government of early Pennsylvania.   There is a long biography for him in ""Lawmaking and Legislators in Pennsylvania, Vol. 1, 1682-1709"""
Carpenter,Zeno,"Carpenter, Zeno",,,1762-05-18,1849-03-23,"New Castle, West Chester County, N. Y.","Utica, New York",male,Bridgewater MM,"s/o William and Sarah Carpenter.  In about 1782 he joined Friends.   In ca. 1786 he married 1st, Lydia Clark (died 1813).   In about 1804 he became a Minister and in 1815 removed within the limits of Bridgewater MM.   He married 2nd, Sarah Hoag in 1817 and in 1822 they moved to Utica, New York.  In 1844 he attended Philadelphia YM."
Carr,Eleanor,"Carr, Eleanor",Wildman,"Wildman, Eleanor",1679-11-28,1750-12-27,"Bentham, Yorkshire, England",Settle,female,Settle MM,"dt/o James and Margaret Wildman.  Her parents were members of the Church of England and when Eleanor was age 11, they joined the Society of Friends.   She became a Minister at about age 28 at Settle.  She married Martin Carr, s/o Martin and Dorothy Carr, at Newton in Belland, Yorkshire, on 12/20/1716.   "
Carrell,Ora W.,"Carrell, Ora W.",,,,1974-01-22,,"Central City, Nebraska",male,,He was born in 1884 and received a B. A. at William Penn College and a B. D. at Hartford Theological Seminary.  On 6/22/1912 he married Golda O. Ruan.  From 1919 to 1953 he taught religion and philosophy at Nebraska Central College and was the President.  In 1920 he was a Delegate to the 1920 All Friends Conference in London.
Carrington,Joseph,"Carrington, Joseph",,,,,,,male,,He lived in Pennsylvania and became a Minister.  He visited England.  There is no information about the era in which he lived.
Carrington,Thomas,"Carrington, Thomas",,,,1781-09-05,,"London Grove ? Chester County, Pa.",male,,"s/o Thomas and Mary Carrington, born ca. 1721.  In 1745 he married 1st,Mary Watson and they had children (she died in 1760).  In 1761 he became a Minister.  In 1762 he married 2nd, Mary Baker and they moved to London Grove.  In 1775 he visited England and Ireland.  In 1777 he was instrumental in the conversion of George Withy."
Carroll,Anna,"Carroll, Anna",Lowe,"Lowe, Anna",,1850-12-06,"Worcester, England","Brighton, England",female,,"dt/o Richard and Elizabeth Lowe, born in 1787.   She became a Minister at Longford in 1815 and visited most parts of Great Britain and Ireland.  In 1816 she married Edward Carroll.  They lived in Uxbridge, Tottenham, Liverpool, Birmingham and finally Reading.  "
Carter,Elizabeth,"Carter, Elizabeth",,,,,,,female,,She became a Minister and was banished from Bermudas in 1669.  In 1672 she was in a shipwreck at the Bermudas.   She was arrested and imprisoned.  In 1680 she visited New England with Elisabeth Brown.
Carter,George,"Carter, George",,,1782-03-03,1868-05-15,North Carolina,Ohio,male,,"s/o John and Ann (or Hannah) Carter, members of Spring MM, North Carolina.  He married ca. 1805, 1st, Miriam Wilson and they had 5 sons.   On 8/3/1811 they brought their certificate from Spring MM to Center MM in Clinton county, Ohio.   He became a Minister in the early 1820's and served as Clerk of the Indiana YM.   He married 2nd, Elizabeth Haines of Dover MM, Ohio in March of 1856.   He was buried at Grassy Run.  "
Carter,John,"Carter, John",,,,,,,male,,"He at first joined the Baptists, but with 7 Friends they set up a Meeting and he became a Member and, too, a Minister.  There is no indication of his time."
Carter,John Darlington,"Carter, John Darlington",,,1874-12-30,1947-05-14,"Lenape, Pennsylvanina","Lansdowne, Pennsylvania",male,,"s/o Charles Shoemaker and Elizabeth (Cope) Carter.   He studied at Westtown, Haverford and Johns Hopkins and then taught Chemistry at Haverford College.  He married Rachel G. Alsop in 1903 and they had 3 children.  He was an Elder and served as clerk of Philadelphia YM at Arch street.  He was buried at Springfield, Pa."
Carter,John Elliot,"Carter, John Elliot",,,1838-02-25,1922-12-01,"Philadelphia, Pennsylvania","Germantown, Pennsylvania",male,,"s/o John and Sarah (Shoemaker) Carter.   He married 1st, Caroline Cadbury of Philadelphia and they had 3 children.  He married 2nd, Mary Anna Cope of Germantown and 3rd, Frances Pimm with whom they had 3 children.  He was an assistant clerk of Philadelphia YM at Arch Street.  "
Carter,William,"Carter, William",,,,1686-09-14,"Cumberland, England","Markgrange, England",male,Pardshaw MM,"He was ""convinced"" at Pardshaw Meeting and became a Minister.   He traveled with Peter Fearon in Scotland and Ireland.  During a trip to Ireland he became ill and returned to England very weak."
Cartland,Stephen,"Cartland, Stephen",,,,1894-05-19,"Parsonsfield, Maine","Pleasantdale, Maine",male,,"s/o Charles or William Cartland, born in 1822.   He was ""convinced"" in 1838 and in 1840 he became a Minister.  He did marry and had 6 children.  He visited Canada more than 12 times and, too, visited the western states.  In 1890 he visited Philadelphia."
Cartland,Fernando Gale,"Cartland, Fernando Gale",,,,1902-12-24,,"near Poughkeepsie, New  York",male,Poughkeepsie MM,"s/o Elijah P. and Sarah B. Cartland, born ca. 1845.   He married Abbie Farr (d. 1913) and they had 7 children.  They both became Ministers and in 1874 they moved from Chicago MM to Deep River MM, North Carolina.  In 1876 he visited New England YM and later they moved to New York State near Poughkeepsie."
Cartwright,John,"Cartwright, John",,,,,England,Jamaica,male,,"He belonged to the ""Dudly Meeting"". He lived in Stowrbridge, Worcestershire and became a Minister.  He had been in Jamaica for about 12 years prior to his death in 1683."
Cary,John Richard,"Cary, John Richard",,,1857-11-20,1928-08-08,"Glens Falls, New York","Baltimore, Maryland",male,,"s/o Egbert and Martha (Snell) Cary.  In 1868 the family moved to Charles County, Maryland.  In 1881 he married Mary E. Bush of Fall River, Massachusetts and they had 2 sons.   He was an Elder and served as clerk of Baltimore YM."
Cary,Margaret Morris,"Cary, Margaret Morris",Reeve,"Reeve, Margaret Morris",1881-11-07,1969-01-06,"Phildelphia, Pennsylvania","Freinds Hall, Fox Chase, Pennsylvania",female,Germantown MM,"dt/o George Dillwyn and Sarah Cadwallader (Comfort) Reeve and her parents were both Members of Friends.  She graduated at Bryn Mawr College in 1907.  She married Charles Reed Cary on 9/7/1912 and they had 4 children.   She was a lifelong Member of Germantown MM and served on many committees, especially the School Committee."
Cary,Richard Lucius,"Cary, Richard Lucius",,,1886-03-14,1933-10-15,"Baltimore, Maryland",Germany,male,,"s/o John R. and Mary E. (Bush) Cary.   Graduated from both Haverford College and Mass. Inst. of Tech.; civil engineer.  In 1919 he went to Germany for the A. F. S. C. devoted to child feeding in the Ruhr district.  He married Mary B. Goodhue in 1922 and they had 2 children.  He returned to Germany with his family in 1930 as A. F. S. C. representative in the Berlin Centre.  He was buried at Bad Purmont, Germany, aged ca. 47."
Cary,Samuel,"Cary, Samuel",,,1766-08-18,1845-02-16,"Providence, Rhode Island",,male,,"s/o Joseph and Ruth Cary.   He was educated among Presbyterians and in 1783 removed to Dutchess County, New York.  In 1891 he married Elizabeth Cornell.  He joined Friends and became a Minister.  In 1802 he visited New England and traveled to  much of his own YM.  He lived at Rensselaerville, Albany County, New York."
Case,Dorothy Fell Kenworthy,"Case, Dorothy Fell Kenworthy",,,1901-07-15,1978-08-19,"Manchester, England",,female,Streatham MM,"She studied at various places including London University and St. Christophers Training College and worked with children's schools.  She was a valued member of Westminster Meeting, serving as an Elder and a Minister.  Her travels took her to America, Canada, Germany and to Amsterdam with a Quaker family through whom she joined Friends."
Cash,Alfred Midgley,"Cash, Alfred Midgley",,,1850-07-15,1936-03-14,"Birstwith, Yorkshire, England","Lindfield, Torquay",male,Torquay MM,"He was educated at Bootham and studied medicine at Edinburgh, Vienna and Berlin.  He married 1st, Ellen Gray of Glasgow.  He was an Overseer and a Minister of the Meeting.  He married 2nd, Mary (Waterfall) Oldfield, widow of Oliver Oldfield.  "
Cash,Elizabeth Petipher,"Cash, Elizabeth Petipher",Lucas,"Lucas, Elizabeth Petipher",1796-02-08,1894-04-05,"Golden Square, London, England","Croydon, England",female,,"dt/o Samuel Lucas and Ann Lucas.   She married William Cash, s/o William and Mary Cash at Peters Court on 8/20/1818 and they had 10 children.   After several years in London, they moved to Peckham Rye.  She became a Minister and Clerk of London & Middlesex QM.   William died of cholera in Hastings in 1849.  "
Cash,Frederick Goodall,"Cash, Frederick Goodall",,,1829-07-23,1909-05-31,"Peckham Rye, Camberwell","Rokesley, Selly Oak, Birmingham, England",male,,"s/o William and Elizabeth Petipher Cash of Wood Street.   He married Martha Bowly (9/27/1836-4/10/1901) dt/o Samuel and Jane Dearman Bowly at Painswick on 6/11/1858 and they had 7 children.  He was active in the Society of Freinds in the Meeting for Sufferings, the Pemba Committee, the Friends Tract Association and the Friends Repeal Association.  "
Cash,Hannah,"Cash, Hannah",,,,,,Morley,female,,She was born ca. 1760 and married Thomas Cash.  She was a Minister for 26 years and died aged 77 in 1837.
Cash,John,"Cash, John",,,1742-07-13,1811-11-23,"Wilmslow, Cheshire, England",,male,,"s/o John and Sarah Cash.  His parents were Friends, but he ""fell away"" at age 19 until he was 25 and then he became a Minister and served for 44 years.  He married 1st, Margaret ?, in 1765, who died in March 1767.  He married 2nd, Mary Wills, dt/o John and Mary Wills of Coventry, on 5/9/1769 and they had 1 child, Sarah.  He married 3rd, Elizabeth Newman, dt/o John and Mary Newman, on 9/21/1778 at Bromsgrove and they had 11 children.   "
Cash,Sarah Moon,"Cash, Sarah Moon",,,,1866-02-23,,,female,Southwark MM,She was a Member for many years at Southwark Meeting and was recorded a Minister in 1829.   She died in her 89th year.
Cash,Thomas,"Cash, Thomas",,,1739-11-13,1809-01-16,"Alderly, Cheshire, England","Morley, Cheshire, England",male,,"s/o Thomas and Alice Cash.  He became a Minister at age 31 and traveled throughout the British Isles, to Scotland twice and to Ireland and overseas.  He married Hannah Bradley, dt/o Samuel and Sarah Wright, at Fraudley on 3/27/1801.  He was buried at Friends burying ground in Morley."
Cash,Thomas,"Cash, Thomas",,,,1901-09-28,"Peckham, England",,male,Peckham MM,"s/o William and Elizabeth P. Cash, born in 1827.  He served in the Peckham Meeting as Clerk, Elder and Overseer.  In 1887 he was recorded a Minister.   He was greatly interested in the cause of Temperance."
Casson,Isabel,"Casson, Isabel",Richardson,"Richardson, Isabel",1777-03-04,1857-11-26,"Whitby, Yorkshire, England","Hull, England",female,Hull MM,"dt/o Henry and Hannah Richardson.  She became a Minister in 1812.  She married Henry Casson in 1824, and he died 2 years later.  She traveled extensively in Great Britain and went to visit Friends in Ireland.  In 1843 she was liberated for service in North America for nearly 2 years.  She was interred in the Friends burial ground near Hull."
Casson,William,"Casson, William",,,1796-10-23,1886-01-22,Thorne,,male,Balby MM,s/o Mordecai and Mary Casson.  He was a Member of Balby MM and was recorded a Minister for nearly 16 years and mostly he visited small meetings and in private visits.
Castle,Edgar Bradshaw,"Castle, Edgar Bradshaw",,,,1973-09-10,,Corfe,male,Pickering & Hull MM,"He was born ca. 1897 and received an M. A. at Lincoln College, Oxford.   He married 1st, Mignon Marrable and they had 2 children.  He married 2nd, Ann Hodgkin in 1962.  From 1923 to 1947 he was Headmaster of Leighton Park School."
Castle,Mignon,"Castle, Mignon",Marrable,"Marrable, Mignon",1896-06-27,1959-04-01,,,female,Pickering & Hull MM,She joined the Society of Friends in 1935 at Reading where her husband Edgar B. Castle was Headmaster of Leighton Park School.  She served as an Elder and was a member of The Friends Peace Committee.  They visited Palestine in 1938 and  in 1956 the Brumana School.
Catchpool,Edgerton St. John (Jack) Pettifor,"Catchpool, Edgerton St. John (Jack) Pettifor",,,1891-08-22,1971-03-13,"Leicester, England",Welwyn Garden City,male,,"s/o Thomas Kingham and Florence Emma Pettifor.   He married Ruth Wilson in June 1920 and they had 5 children.   He served in the Friends War Victims Relief Committee visit to Moscow, prisoner of Whites in Armenia.  He was awarded the Cross of the British Empire for service to the Youth Hostel Assn. in Briatian in 1950."
Catchpool,Gwendolen,"Catchpool, Gwendolen",Southall,"Southall, Gwendolen",1891-03-13,1972-02-01,"Birmingham, England",Hampstead,female,Hampstead MM,"dt/o Wilfred and Isabel Southall.   In 1920 she married Thomas Corder Catchpool at Bewdley and they had 4 children.  From 1930 to 1936 they to the Quaker Centre in Berlin and in 1947 they served at the Quaker Rest Home in Bad Pyrmont, Germany.  She was an Overseer and Elder of Hampstead MM."
Catchpool,John,"Catchpool, John",,,,1847-01-04,"Stratford, Essex, England","Winchmore Hill, Middlesex, England",male,Tottenham MM,"s/o William and Jane Catchpool, born in August, 1777.   He served as an Overseer and a Minister for about 4 years.  He married in ca. 1805 to Lydia Davy."
Catchpool,Thomas Corder Pettifor,"Catchpool, Thomas Corder Pettifor",,,1883-07-15,1952-09-16,"Leicester, England","Monte Rosa, Swiss Alps",male,Hampstead MM,s/o Thomas Kingham Catchpool and Florence Emma Pettifor.  He graduated in 1908 at London University.   He was imprisoned in 1916 for 2 years because of his stand against conscription.  He married Mary Gwendolen Southall in 1920.   In 1931 they moved to Berlin and he was arrested twice.  In 1938 he was an interpreter for George Lansbury to Germany.  He visited Germany frequently after the war.
Cater,Samuel,"Cater, Samuel",,,,1711-10-19,"Littleport, Isle of Ely",,male,,"s/o William and Katharine Cater, Baptists, born ca. 1626.   He married 1st, Elizabeth ? and 2nd, in 1691, Elizabeth Gogney, a widow.   In 1655 he was ""convinced"" by James Parnel and joined Quakers.  He became a Minister.   In about 1670 he was imprisoned in Ely gaol in Scotland.  "
Catford,Eliza Alice,"Catford, Eliza Alice",Blaxill,"Blaxill, Eliza Alice",,1956-01-15,"Colchester, England",,female,Hertford & Hitchin MM,She was born in 1868 and became a Member of the Congregational Church.  She joined Friends shortly after she married Robert H. Catford.   In 1909 she was recorded a Minister at Hitchin.  She was an Elder for many years and was interested in the Friends Temperance Union.  In 1922 they lived at Welwyn Garden City and helped building up the meeting.
Catford,Robert Henry,"Catford, Robert Henry",,,1866-12-01,1962-10-05,"Clevedon, Somerset, England",Welwyn Garden City,male,Hertford & Hitchin MM,s/o Henry J. and Elizabeth Catford.  He married E. Alice Blaxill of Colchester in 1900 and they had 3 children.  He moved to Welwyn Garden City in 1922 and through his efforts a new Meeting house was erected in 1925.  He served as an Elder as well as working on several Committees.
Cathrall,Hannah,"Cathrall, Hannah",,,1736-06-22,1806-12-05,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania",female,,"dt/o Edward and Rachel (Hearon,Herring?) Cathrall.    She became a Minister.  She instructed in sewing at Rebecca Jones' school.  In 1784 she visited the Virginia YM and in 1793 the London Grove Quarter."
Caton,William,"Caton, William",,,,,"Ulverston, Lancashire, England",Amsterdam,male,,"He was born ca. 1636 and he was a schoolmate of George Fell of Swarthmoor and later Secretary to Margaret Fell.  He was ""convinced"" in 1652.  In 1656 he visited Holland and he married there in 1662 to Annekin Dericks of Amsterdam.  He was one of the Valiant Sixty.   He died in the 12th month 1665 aged 28 or 29."
Ceresole,Pierre,"Ceresole, Pierre",,,1879-08-17,1945-10-24,"Lausanne, Switzerland","Lausanne, Switzerland",male,,"s/o Paul Ceresole.   He studied at Zurich, Gottingen and Munich.  In 1910 he traveled around the world.   He married Lise David. and in 1934 visited India.  In 1934 he joined the Society of Friends.  He was imprisoned for refusing to pay taxes and civil disobedience."
Chace,Elizabeth,"Chace, Elizabeth",Buffum,"Buffum, Elizabeth",1806-12-09,1899-12-12,"Providence, Rhode Island","Central Falls, Rhode Island",female,,"dt/o Arnold and Rebecca (Gould) Buffum.   In June 1828 she married Samuel Buffington Chace at Fall River, Massachusetts and they had 10 children.  She became interested in the Underground Railway.  She resigned from the Society of Friends in 1843 because of Friends' indifference to Abolition..  She was as advocate of anti-slavery and woman Suffrage.  "
Chace,Obadiah,"Chace, Obadiah",,,,1907-05-19,"Warren, Rhode Island","South Swansea, Massachusetts",male,,"s/o Anthony and Isabel (Buffinton) Chace, born ca. 1818.   He was educated at Friends' School in Providence.  In 1845 he married Esther Freeborn.   He became a Minister in 1852 and made two trips to the west with his wife.  He was a Member of the Rhode Island Legislature.  "
Chalk,Elizabeth Sarah,"Chalk, Elizabeth Sarah",Prideaux,"Prideaux, Elizabeth Sarah",,1883-12-11,,"Kingston, England",female,Kingston MM,She was born about 1809 and raised by two aunts in Kingsbridge.   She was recorded a Minister at West Devon MM in 1840.  In 1853 she moved to Kingston and she married Thomas Chalk.   She visited other Meetings and families of Friends elsewhere with her husband.
Chalk,Lydia,"Chalk, Lydia",Sargent,"Sargent, Lydia",1794-06-26,1851-10-26,"Grittelton, Wiltshire, England","Kingston-on-Thames, England",female,Kingston MM,"dt/o Isaac and Lydia Sargent.   In 1805 the family moved to London and joined Westminster MM and on 2/12/1835 she was recorded a Minister.  She married Thomas Chalk in 1836 and joined Kingston MM.  They visited Meetings in Devonshire, Kent, London and Middlesex, Sussex and Surrey.  She was interred in Friends Burial Ground at Kingston."
Chalk,Thomas,"Chalk, Thomas",,,1786-04-19,1869-02-02,"Brighton, Sussex, England","Kingston, Surrey, England",male,Kingston MM,"s/o Thomas and Sarah Chalk.  He studied at Ackworth School.  He married 1st, Deborah Harris, dt/o Thomas and Ann Harris at Ratcliff on 10/4/1824 and she died 4/26/1834.  He married 2nd, Lydia Sargent, dt/o Isaac and Lydia Sargent, at Westminster, on 7/28/1836.  He married 3rd, Elizabeth Prideaux, dt/o Walter Prideaux, at Kingsbridge, on 7/7/1853.   He was recorded a Minister in 1839.  He visited Ireland twice and Minden and Pyrmont in France."
Chalkley,George,"Chalkley, George",,,,1725-01-07,,"London, England",male,,"s/o Thomas Chalkley, born ca. 1642.  He was ""convinced"" by William Brend, at Chase Side.  His parents were also ""convinced"".  He was taken at a meeting and sent to New-prison in White-chapel.  In ca. 1667 he married Rebecca Harding.  In ca. 1702 he traveled in North of England and in 1717 visited Chester and crossed to Ireland."
Chalkley,Thomas,"Chalkley, Thomas",,,1675-05-03,1741-11-04,"Southwark, London, England",Tortola,male,,"s/o George Chalkley.   He was stoned , because he dressed as a ""Quaker"".  He was impressed on a man-of-war and put ashore.  In 1699 he married 1st, Martha Betterton, who was also a Minister.  They moved to Philadelphia in 1700 and visited many places.   She died in 1712 and he married 2nd, Martha Brown, a widow, in 1714 or 1715.  He had 12 children and only Rebecca survived him. He was buried at Fat-Hog Bay."
Chamberlain,Katharine,"Chamberlain, Katharine",Chattam,"Chattam, Katharine",,,"London, England",,female,,"In 1662 she came to Boston, Massachusetts and was driven into the wilderness.  Returned to Boston and went among the people in sackcloth, as a sign.  She was imprisoned in the cold winter.  She married John Chamberlain and settled in Boston."
Chambers,Grace,"Chambers, Grace",,,,,"Monkheselden, Durham, England","Sedgewick, near Kendal, England",female,,She was born ca. 1713 and did marry.   She moved near Kendal.  She had skill in surgery and in remedying disorders.  She became a Minister and traveled with Lydia Lancaster in England as late as 1760.    She died in September 1762.
Champion,Esther,"Champion, Esther",Palmer,"Palmer, Esther",,1714-11-03,"Flushing, Long Island","Bristol, England",female,,"dt/o Joseph Palmer.  She became a Minister and visited Nantucket and New England.  She came to Philadelphia and visited Virginia, Maryland and Carolina.  In 1710 she traveled to England and she married Richard Champion of Bristol, England.  She contracted small-pox and died after 11 days."
Chandler,Hannah,"Chandler, Hannah",,,,,"Guildford, England","Guildford, England",female,Guildford MM,"dt/o Joseph and Ann Chandler, born in 1770.  She was a diligent Friend and served as a Minister for 9 years.   She died in 1813, age 46."
Chandler,Rachel,"Chandler, Rachel",Penfold,"Penfold, Rachel",1722-08-26,1765-05-18,"Guildford, England","Esher, Surrey, England",female,Kingston MM,"dt/o Thomas and Rachel Penfold.   She married William Chandler of Flexford, Surrey on 7/17/1755.  She became an able Minister and traveled to various parts of England.  She was buried at Friends Burial Ground at Kingston."
Chant,Martha,"Chant, Martha",,,,1793-07-25,"Reading, England","Reading, England",female,Reading MM,She was born about 1711 and she married before 1745 to John Chant and they had 3 children.  She became a Minister and served for 36 years.  She was buried in Friends burying ground at Reading.
Chantler,William Rogers,"Chantler, William Rogers",,,1846-06-06,1918-01-04,"Newport Panell, Bucks.",,male,,"s/o William and Christianna Chantler.  He married Anna Maria Dann dt/o Thomas Tully Dann of Nutfield, Surrey, at Reigate Meeting House, on 6/2/1887.   In 1896 he was recorded a Minister.  He took an active interest in public affairs and was a magistrate and Chairman of the Urban District Council."
Chapman,Solomon,"Chapman, Solomon",,,,,"Whitby, England","Sunderland, England",male,Newcastle MM,He was born in 1750 and in 1760 his family moved to Sunderland.  He was a birthright Friend and became a Minister in 1809.  In 1811 he visited Ireland and in 1821 to Dublin.  He died in 1838.
