Name(s) of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Assumed Gender of Enslaved Person,Page Number,Image Name (A001870XX_XXX),Date (YYYY-MM-DD),"Place (Township, County, etc)",Place(State),"Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Assumed Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)",Monthly Meeting,"Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Indexer initials,Checker initials
Hannah ,7,7,female,33-34,A00179697_033,1781-03-18,_,DE,"Caldwell, Mary",,female,"Mifflin, Warner; 
Caldwell, Esther; 
Caldwell, John",,Duck Creek,,,"location not specified, probably Kent, DE

child of Ruth",WGC,WGC
Celia,?,18,female,34-35,A00179697_034,1781-04-09,"Murderhill Hundred, 
Kent County",DE,"Purdin, Joseph",,male,"Mifflin, Warner; 
Dixon, Rober; 
Purden, John; 
Dickinson, John;",,Duck Creek,,,"age for Celia not listed, but probably a minor",WGC,WGC
Amey,12,18,female,35-36,A00179697_035,1781-06-01,Kent County,DE,"George, Joseph; 
George, Patience",,male; female,"Newell, Henry; 
Newell, Mararget",,Duck Creek,,,,WGC,WGC
Dinah,?,time of manumission,female,36,A00179697_036,1781-05-02,Kent County,DE,"Jarrell, Eleanor",,female,"Mifflin, Warner; 
Nockjun, Thomas",,Duck Creek,,,"age for Dinah and Rose not specified

family:
Dinah is the mother of Rose",WGC,WGC
Rose,?,time of manumission,female,36,A00179697_036,1781-05-02,Kent County,DE,"Jarrell, Eleanor",,female,"Mifflin, Warner; 
Nockjun, Thomas",,Duck Creek,,,"age not specified, child of Dinah",WGC,WGC
_,_,_,_,39,A00179697_037,1783-04-01,_,DE,"Clemmons, Peter",,male,"Sonber, Issac; 
Sonber, Mary",,Duck Creek,,,"first part of manumission missing a page,
jumps from 36 to 39",WGC,WGC
Bett [alias Elizabeth] Shippy,?,time of manumission,female,39,A00179697_037,1775-02-14,_,DE,"Holliday, Susanna",,female,"Pugh, Susanna; 
Holliday, Robert",,Duck Creek,,,"location and ages of enslaved not listed

Bett Shippy is the mother of Jane and Flora",WGC,WGC
Jane,?,time of manumission,female,39,A00179697_037,1775-02-14,_,DE,"Holliday, Susanna",,female,"Pugh, Susanna; 
Holliday, Robert",,Duck Creek,,,"location and ages of enslaved not listed

child of Bett Shippy, sister of Flora",WGC,WGC
Flora,?,time of manumission,female,39,A00179697_037,1775-02-14,_,DE,"Holliday, Susanna",,female,"Pugh, Susanna; 
Holliday, Robert",,Duck Creek,,,"location and ages of enslaved not listed

child of Bett Shippy, sister of Jane",WGC,WGC
Isaac,40,40,male,39-40,A00179697_037,1781-04-17,Kent County,DE,"Black, Stephen",,male,"Lockwood, Armwell; 
Morgan, Sonard",,Duck Creek,,,,WGC,WGC
Cato,25,25,male,39-40,A00179697_037,1781-04-17,Kent County,DE,"Black, Stephen",,male,"Lockwood, Armwell; 
Morgan, Sonard",,Duck Creek,,,,WGC,WGC
Phillis,25,25,female,39-40,A00179697_037,1781-04-17,Kent County,DE,"Black, Stephen",,male,"Lockwood, Armwell; 
Morgan, Sonard",,Duck Creek,,,,WGC,WGC
Benjamin,7,25,male,39-40,A00179697_037,1781-04-17,Kent County,DE,"Black, Stephen",,male,"Lockwood, Armwell; 
Morgan, Sonard",,Duck Creek,,,,WGC,WGC
Nancy,5,22,female,39-40,A00179697_037,1781-04-17,Kent County,DE,"Black, Stephen",,male,"Lockwood, Armwell; 
Morgan, Sonard",,Duck Creek,,,,WGC,WGC
Isaac,4,25,male,39-40,A00179697_037,1781-04-17,Kent County,DE,"Black, Stephen",,male,"Lockwood, Armwell; 
Morgan, Sonard",,Duck Creek,,,,WGC,WGC
James,2,25,male,39-40,A00179697_037,1781-04-17,Kent County,DE,"Black, Stephen",,male,"Lockwood, Armwell; 
Morgan, Sonard",,Duck Creek,,,,WGC,WGC
Suckey,<1,22,female,39-40,A00179697_037,1781-04-17,Kent County,DE,"Black, Stephen",,male,"Lockwood, Armwell; 
Morgan, Sonard",,Duck Creek,,,,WGC,WGC
Pegg,?,time of manumission,female,40,A00179697_038,1783-05-13,"Duck Creek Hundred, 
Kent County",DE,"Fronler, Rachel",,female,"Parsons, Abram",,Duck Creek,,,age of enslaved not listed,WGC,WGC
Grace,44,44,female,40,A00179697_038,1786-01-20,Kent County,DE,"Cranmer, Thomas; 
Cranmer, Mariam",,male; female,"Newell, Henry; 
George, Joseph",,Duck Creek,,,,WGC,WGC
Moses,?,time of manumission,male,41,A00179697_039,1786-03-09,Kent County,DE,"Wallace, Joseph",,male,"Williams, Samuel; 
Jinkins, Jospeh",,Duck Creek,,,,WGC,WGC
John,10,21,male,41-42,A00179697_039,1786-07-20,Kent County,DE,"Wilson, George",,male,"Bowers, John; 
Lundergin, James",,Duck Creek,,,,WGC,WGC
Mingo,8,21,male,41-42,A00179697_039,1786-07-20,Kent County,DE,"Wilson, George",,male,"Bowers, John; 
Lundergin, James",,Duck Creek,,,,WGC,WGC
Sarah,5,"18(Sarah); 
time of manumission(Rachel, Feane)",female,42,A00179697_040,1787-06-09,_,DE,"Vanwinkle, Simon",,male,"Holliday, Robert; 
Murphey, Samuel",,Duck Creek,,,"surname of Simon is cut off, probably Vanwinkle
location not listed, probably Kent, DE",WGC,WGC
Rachel,?,time of manumission,female,42,A00179697_040,1787-06-09,_,DE,"Vanwinkle, Simon",,male,"Holliday, Robert; 
Murphey, Samuel",,Duck Creek,,,"surname of Simon is cut off, probably Vanwinkle
location not listed, probably Kent, DE",WGC,WGC
Feane,?,time of manumission,female,42,A00179697_040,1787-06-09,_,DE,"Vanwinkle, Simon",,male,"Holliday, Robert; 
Murphey, Samuel",,Duck Creek,,,"surname of Simon is cut off, probably Vanwinkle
location not listed, probably Kent, DE",WGC,WGC
Esther,19,19,female,42-43,A00179697_040,1788-10-27,Kent County,DE,"Porter, Elizabeth",,female,"Hanson Junr. Samuel; 
Mifflin, Warner;
Parker, Jno.","Hanson Jr., Samuel
Parker, John",Duck Creek,,,,WGC,WGC
Moses,? ,time of manumission,male,43-44,A00179697_041,1788-11-06,Kent County,DE,"Newell, Henry",,male,"Entuse, Mary; 
Newell, Jabith",,Duck Creek,,,age not listed,WGC,WGC
Charles,? ,time of manumission,male,43-44,A00179697_041,1788-11-06,Kent County,DE,"Newell, Henry",,male,"Entuse, Mary; 
Newell, Jabith",,Duck Creek,,,age not listed,WGC,WGC
Nance,?,time of manumission,female,43-44,A00179697_041,1788-11-06,Kent County,DE,"Newell, Henry",,male,"Entuse, Mary; 
Newell, Jabith",,Duck Creek,,,age not listed,WGC,WGC
Peter,<18,21,male,43-44,A00179697_041,1788-11-06,Kent County,DE,"Newell, Henry",,male,"Entuse, Mary; 
Newell, Jabith",,Duck Creek,,,,WGC,WGC
Nance,27,pre-manumission,female,44,A00179697_042,1790-10-13,"Misipillion Hundred, 
Kent County",DE,"Bostick, James",,male,"Guy, William; 
Mifflin, Warner",,Duck Creek,,,"family:
Nancy is the mother of Rachel, Ann, Solomon ",WGC,WGC
Rachel,7,18,female,44,A00179697_042,1790-10-13,"Misipillion Hundred, 
Kent County",DE,"Bostick, James",,male,"Guy, William; 
Mifflin, Warner",,Duck Creek,,,child of Nancy,WGC,WGC
Ann,5,18,female,44,A00179697_042,1790-10-13,"Misipillion Hundred, 
Kent County",DE,"Bostick, James",,male,"Guy, William; 
Mifflin, Warner",,Duck Creek,,,child of Nancy,WGC,WGC
Solomon,2,21,male,44,A00179697_042,1790-10-13,"Misipillion Hundred, 
Kent County",DE,"Bostick, James",,male,"Guy, William; 
Mifflin, Warner",,Duck Creek,,,child of Nancy,WGC,WGC
Robin,23,pre-manumisison,male,44,A00179697_042,1790-10-13,"Misipillion Hundred, 
Kent County",DE,"Bostick, James",,male,"Guy, William; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Jane,22,22,female,44-45,A00179697_042,1792-03-17,"Duck Creek Hundred, 
Kent County",DE,"Jurly, Mary",,female,"Mifflin, Warner; 
Mifflin, Sarah",,Duck Creek,,,"family:
Jane is the mother of Sarah and Robert",WGC,WGC
Rachel,19,19,female,44-45,A00179697_042,1792-03-17,"Duck Creek Hundred, 
Kent County",DE,"Jurly, Mary",,female,"Mifflin, Warner; 
Mifflin, Sarah",,Duck Creek,,,mother of Hessee and Margaret,WGC,WGC
Sarah,~2,~2,female,44-45,A00179697_042,1792-03-17,"Duck Creek Hundred, 
Kent County",DE,"Jurly, Mary",,female,"Mifflin, Warner; 
Mifflin, Sarah",,Duck Creek,,,child of Jane,WGC,WGC
Robert,5 months,5 months,female,44-45,A00179697_042,1792-03-17,"Duck Creek Hundred, 
Kent County",DE,"Jurly, Mary",,female,"Mifflin, Warner; 
Mifflin, Sarah",,Duck Creek,,,child of Jane,WGC,WGC
Hessee,3,3,female,44-45,A00179697_042,1792-03-17,"Duck Creek Hundred, 
Kent County",DE,"Jurly, Mary",,female,"Mifflin, Warner; 
Mifflin, Sarah",,Duck Creek,,,child of Rachel,WGC,WGC
Margaret,2,2,male,44-45,A00179697_042,1792-03-17,"Duck Creek Hundred, 
Kent County",DE,"Jurly, Mary",,female,"Mifflin, Warner; 
Mifflin, Sarah",,Duck Creek,,,child of Rachel,WGC,WGC
Ambo,42,42,female,45,A00179697_043,1787-05-09,"Misipillion Hundred, 
Kent County",DE,"Crumpton, Curtis; 
Crumpton, John;
Crumpton, William; 
Crumpton, Sarah;
Crumpton, Ann; 
Laws, John; 
Brandwell, George",,"female(Sarah, Ann);
male(others)","Agdelott, Jospeh; 
Renas, Daniel",,Duck Creek,,,,WGC,WGC
Solomon,13,13,male,46,A00179697_044,1788-02-29,"Dover, Kent County",DE,"Ridgley, Abraham",,male,"Ridgely, Nicholas; 
MClymente, James",,Duck Creek,,,,WGC,WGC
James,?,time of manumission,male,1st,A00179697_049,1774-10-22,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Mifflin, Daniel; 
Starr, James",,Duck Creek,,,"age of James not listed but definitely 21+

family:
Mariah is the mother of Ann, Lydia, Melissa",WGC,WGC
Mariah,23,23,female,1st,A00179697_049,1774-10-22,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Mifflin, Daniel; 
Starr, James",,Duck Creek,,,,WGC,WGC
Ann,3,18,female,1st,A00179697_049,1774-10-22,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Mifflin, Daniel; 
Starr, James",,Duck Creek,,,child of Mariah,WGC,WGC
Lydia,6,6,female,1st,A00179697_049,1774-10-22,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Mifflin, Daniel; 
Starr, James",,Duck Creek,,,child of Mariah,WGC,WGC
Melissa,12,12,female,1st,A00179697_049,1774-10-22,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Mifflin, Daniel; 
Starr, James",,Duck Creek,,,child of Mariah,WGC,WGC
Hannah,?,time of manumission,female,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,"specific age for Hannah not listed but described
as ""antient"" or ancient",WGC,WGC
Ezekiel,25,25,male,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,,WGC,WGC
Beniah,27,27,male,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,,WGC,WGC
Paul,20,20,male,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,,WGC,WGC
Nanny,30,30,female,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,"mother of Hannah (14 y/o), Daniel, and Jenny",WGC,WGC
Hannah,14,18,female,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,child of Nanny,WGC,WGC
Daniel,10,21,male,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,child of Nanny,WGC,WGC
Jenny,5,18,female,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,child of Nanny,WGC,WGC
Nanny,3,18,female,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,,WGC,WGC
Abram,10 months,21,male,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,,WGC,WGC
Grace,27,27,female,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,"mother of Grace, Henny, Betty, and Richard",WGC,WGC
Betty,13,18,female,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,child of Grace,WGC,WGC
Henny,11,18,female,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,child of Grace,WGC,WGC
Richard,7,21,male,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,child of Grace,WGC,WGC
Rebecca,3,18,female,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,,WGC,WGC
Solomon,40+,40+,male,2nd-3rd,A00179697_050,1775-01-09,Kent County,DE,"Mifflin, Warner",,male,"Jenkins, Joseph; 
Cole, Edward",,Duck Creek,,,,WGC,WGC
Caleb,30,30,male,4th,A00179697_052,1775-01-17,Kent County,DE,"Jenkins, Joseph",,male,"Mifflin, Warner; 
Mifflin Elizabeth",,Duck Creek,,,,WGC,WGC
Johannah,51,51,female,4th,A00179697_052,1775-01-13,Sussex County,DE,"Oliver, Levi",,male,_,,Duck Creek,,,no witnesses listed,WGC,WGC
Rhana,?,time of manumission,female,4th,A00179697_052,1775-02-14,Kent County,DE,"Bonman, Thomas",,male,"Mifflin, Warner; 
Mifflin Elizab.;
Mifflin, Daniel","Mifflin, Elizabeth",Duck Creek,,,"no exact age given for Rhana but described
as antient",WGC,WGC
Anthony ,40+,40+,male,4th,A00179697_052,1775-02-14,Kent County,DE,"Bonman, Thomas",,male,"Mifflin, Warner; 
Mifflin Elizab.;
Mifflin, Daniel","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
James,28,28,male,4th,A00179697_052,1775-02-14,Kent County,DE,"Bonman, Thomas",,male,"Mifflin, Warner; 
Mifflin Elizab.;
Mifflin, Daniel","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
Moses,26,26,male,4th,A00179697_052,1775-02-14,Kent County,DE,"Bonman, Thomas",,male,"Mifflin, Warner; 
Mifflin Elizab.;
Mifflin, Daniel","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
Richard,21,21,male,5th,A00179697_053,1775-03-03,Kent County,DE,"Ozbourne, Eunice",,female,"Mifflin, Warner; 
Dawson, Beny; 
Wilson, William",,Duck Creek,,,,WGC,WGC
York,23+,23+,male,5th-6th,A00179697_053,1775-03-03,_,DE,"Emerson, Jacob",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John",,Duck Creek,,,"no county listed, probably Kent, DE",WGC,WGC
London,19,21,male,5th-6th,A00179697_053,1775-03-03,_,DE,"Emerson, Jacob",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John",,Duck Creek,,,,WGC,WGC
Ezekiel,17,21,male,5th-6th,A00179697_053,1775-03-03,_,DE,"Emerson, Jacob",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John",,Duck Creek,,,,WGC,WGC
Phebe,15,18,female,5th-6th,A00179697_053,1775-03-03,_,DE,"Emerson, Jacob",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John",,Duck Creek,,,,WGC,WGC
Lilpha,12,18,female,5th-6th,A00179697_053,1775-03-03,_,DE,"Emerson, Jacob",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John",,Duck Creek,,,,WGC,WGC
Alice,11,18,female,5th-6th,A00179697_053,1775-03-03,_,DE,"Emerson, Jacob",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John",,Duck Creek,,,,WGC,WGC
Mathew,21,21,male,6th,A00179697_054,1775-03-04,Kent County,DE,"Nock Jun., Thomas","Nock Junior, Thomas",male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John",,Duck Creek,,,,WGC,WGC
Glasgow ,13,21,male,6th,A00179697_054,1775-03-04,Kent County,DE,"Nock Jun., Thomas","Nock Junior, Thomas",male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John",,Duck Creek,,,,WGC,WGC
Glasgow,34,34,male,7th,A00179697_055,1775-03-04,Kent County,DE,"Sipple, Sylvia",,female,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John",,Duck Creek,,,,WGC,WGC
Sarah,?,pre-manumission ,female,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,no age specified ,WGC,WGC
Drummer,?,pre-manumission ,male,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,no age specified ,WGC,WGC
Judea,?,pre-manumission,male,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,no age specified ,WGC,WGC
Hannah,?,pre-manumission,female,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,"no age specified, described as antient",WGC,WGC
Grace,47,pre-manumission,female,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Anthony ,54,pre-manumission,male,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Toney,29,pre-manumission,male,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Fal,25,pre-manumission,male,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Leah,25,pre-manumission,female,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Calo,20,21,male,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Peter,18,21,male,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Isaac,12,21,male,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Dick,11,21,male,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Eben ,6,21,male,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Grace,9,18,female,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Henny,7,18,female,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Rachel,2,18,female,7th,A00179697_055,1775-03-15,Kent County,DE,"Sipple, Garratt",,male,"Mifflin, Warner; 
Dawson, Beny; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Abram,45,45,male,8th,A00179697_056,1775-03-15,Kent County,DE,"Edmondson, John",,male,"Mifflin, Warner; 
Dawson, Beny; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Bett,30,30,female,8th,A00179697_056,1775-03-15,Kent County,DE,"Edmondson, John",,male,"Mifflin, Warner; 
Dawson, Beny; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Pegg,20,20,female,8th,A00179697_056,1775-03-15,Kent County,DE,"Edmondson, John",,male,"Mifflin, Warner; 
Dawson, Beny; 
Wilson, William",,Duck Creek,,,Pegg is the mother of Nell,WGC,WGC
Nell,14 months,18,female,8th,A00179697_056,1775-03-15,Kent County,DE,"Edmondson, John",,male,"Mifflin, Warner; 
Dawson, Beny; 
Wilson, William",,Duck Creek,,,daugter of Pegg,WGC,WGC
Frank Baker,40,39,male,8th-9th,A00179697_056,1775-03-16,Kent County,DE,"Jenkins, Timothy",,male,"Mifflin, Warner; 
Dawson, Beny; 
Wilson, William",,Duck Creek,,,,WGC,WGC
David,36,35,male,8th-9th,A00179697_056,1775-03-16,Kent County,DE,"Jenkins, Timothy",,male,"Mifflin, Warner; 
Dawson, Beny; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Hannah,36,35,female,8th-9th,A00179697_056,1775-03-16,Kent County,DE,"Jenkins, Timothy",,male,"Mifflin, Warner; 
Dawson, Beny; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Susannah,40,40,female,8th-9th,A00179697_056,1775-03-16,Kent County,DE,"Jenkins, Timothy",,male,"Mifflin, Warner; 
Dawson, Beny; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Jacob,24,24,male,8th-9th,A00179697_056,1775-03-16,Kent County,DE,"Jenkins, Timothy",,male,"Mifflin, Warner; 
Dawson, Beny; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Phebe,16,18,female,8th-9th,A00179697_056,1775-03-16,Kent County,DE,"Jenkins, Timothy",,male,"Mifflin, Warner; 
Dawson, Beny; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Nan,13,18,female,8th-9th,A00179697_056,1775-03-16,Kent County,DE,"Jenkins, Timothy",,male,"Mifflin, Warner; 
Dawson, Beny; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Johnathan,2,21,male,8th-9th,A00179697_056,1775-03-16,Kent County,DE,"Jenkins, Timothy",,male,"Mifflin, Warner; 
Dawson, Beny; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Cato,24,pre-manumission ,female,9th-10th,A00179697_057,1775-03-25,Kent County,DE,"Holliday, Ann",,female,"Mifflin, Warner; 
Dickinson, Phebe",,Duck Creek,,,,WGC,WGC
Joyce,26,pre-manumission ,female,9th-10th,A00179697_057,1775-03-25,Kent County,DE,"Holliday, Ann",,female,"Mifflin, Warner; 
Dickinson, Phebe",,Duck Creek,,,"mother of Moses, Cato, and Rachel",WGC,WGC
Moses,5,pre-manumission ,male,9th-10th,A00179697_057,1775-03-25,Kent County,DE,"Holliday, Ann",,female,"Mifflin, Warner; 
Dickinson, Phebe",,Duck Creek,,,son of Joyce,WGC,WGC
Patience,21,21,female,9th-10th,A00179697_057,1775-03-25,Kent County,DE,"Holliday, Ann",,female,"Mifflin, Warner; 
Dickinson, Phebe",,Duck Creek,,,,WGC,WGC
Julia,16,16,female,9th-10th,A00179697_057,1775-03-25,Kent County,DE,"Holliday, Ann",,female,"Mifflin, Warner; 
Dickinson, Phebe",,Duck Creek,,,,WGC,WGC
Rachel,?,time of manumission,female,9th-10th,A00179697_057,1775-03-25,Kent County,DE,"Holliday, Ann",,female,"Mifflin, Warner; 
Dickinson, Phebe",,Duck Creek,,,"daughter of Joyce, no age given but most likely very young",WGC,WGC
Cato,?,time of manumission,male,9th-10th,A00179697_057,1775-03-25,Kent County,DE,"Holliday, Ann",,female,"Mifflin, Warner; 
Dickinson, Phebe",,Duck Creek,,,"son of Joyce, no age given but most likely very young",WGC,WGC
Esther,35,35,female,10th,A00179697_058,1775-03-31,Sussex County,DE,"Spencer, Luke",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Jacob,28,28,male,10th,A00179697_058,1775-03-31,Sussex County,DE,"Spencer, Luke",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Esther,2,18,female,10th,A00179697_058,1775-03-31,Sussex County,DE,"Spencer, Luke",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Catharine,55,55,female,11th,A00179697_059,1775-03-01,Sussex County,DE,"Spencer, Catharine",,female,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Richard,51,51,male,11th,A00179697_059,1775-03-01,Sussex County,DE,"Spencer, Catharine",,female,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Alice,16,18,female,11th,A00179697_059,1775-03-01,Sussex County,DE,"Spencer, Catharine",,female,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Peter,31+,31+,male,11th-12th,A00179697_059,1775-04-01,Sussex County,DE,"Spencer, Joshua",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Jane,30,30,female,11th-12th,A00179697_059,1775-04-01,Sussex County,DE,"Spencer, Joshua",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Daniel,19,21,male,11th-12th,A00179697_059,1775-04-01,Sussex County,DE,"Spencer, Joshua",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Sarah,11,21,female,11th-12th,A00179697_059,1775-04-01,Sussex County,DE,"Spencer, Joshua",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
